puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0400803,48.61459111789973,36.90024209050254,12.859850728586698,147423,31
0400805,51.725209737356224,54.26230453996327,12.859850728586698,123888,27
0400807,60.59116418062863,50.508571886611314,12.859850728586698,143751,33
0400900,82.40524336370962,70.00281871530242,1.418126170705727,172801,52
0500100,55.36720500257731,38.158096948920424,33.892903684397595,284135,57
0500200,74.70025168523559,42.05329425906381,28.257315483947405,245782,54
0500300,83.48883773953956,72.21538180712486,17.899241616813207,155374,39
0500400,84.37501758760222,74.4203109567158,13.145442826178368,133505,43
0500500,89.70539717730372,65.20807872142075,30.06289397978571,196423,49
0500600,83.12228635973099,68.99193055359666,30.72880153800559,98358,36
0500700,87.89678917689282,80.59088904476205,22.410883724289633,94688,35
0500800,85.68757881505783,65.24806403587657,28.290484705124012,108041,30
0500900,70.38979714602795,51.110119254857416,72.47837933894087,210018,55
0501000,65.03842194183693,58.3388815962693,72.4783793389409,188812,52
0501100,75.15062610179208,37.284326440086154,38.284093802876626,197429,46
0501200,51.294881272567146,45.979245874703984,41.57801208387629,123011,30
0501300,79.74951923150758,63.360203949017226,33.35809323898388,139941,38
0501400,70.1180778674301,54.1047594066122,27.560727728441062,187824,46
0501500,81.24977114178469,77.49643921849291,11.21898241458383,95761,28
0501600,73.59980304478833,71.1941648291264,26.775502673249186,162968,48
0501700,65.50641236459572,73.49674196383347,49.26958768643337,95214,33
0501800,70.20945346982217,82.38492255528159,23.25527193609371,95742,36
0501900,55.697537430889135,76.82195643065221,35.08183793176043,95613,32
0502000,72.65556449130365,76.03285323180543,16.187556492208657,99312,36
0600101,86.75824023112244,48.3140895366147,85.73391778225329,144361,42
0600102,91.29319723714337,58.87615036313289,85.73391778225329,183183,57
0600103,88.41959912527112,37.627938993822376,85.73391778225329,134858,35
0600104,89.52249351344841,63.356597433041664,85.73391778225329,140134,29
0600105,93.77048974056947,50.06978748488479,85.73391778225331,175208,36
0600106,81.89991545015405,40.888020293955364,85.73391778225331,146226,30
0600107,82.19514715267823,37.53173961364901,85.7339177822533,163404,33
0600108,83.32675047017354,30.84228510188261,85.73391778225331,144736,31
0600109,84.1479959321165,30.56201453295964,85.7339177822533,202003,41
0600110,92.6673204569063,25.262049411109746,85.73391778225331,244171,44
0600300,90.53395510307891,61.7490058570388,32.272831781381875,191584,59
0600701,63.67054841006407,48.68411826681134,48.271531809027415,124565,27
0600702,70.1018604718626,67.63566827680978,48.271531809027415,86925,27
0601100,91.20247962571752,58.0586109756675,21.44677592469783,132337,32
0601301,90.26249929741626,59.515792311175694,56.78118706314421,129388,24
0601302,76.05932121268339,30.918254286776694,56.78118706314419,127594,31
