county_geoid,hc_share,n_orig
31159,0.184844192634561,1412
40069,0.418224299065421,428
19081,0.232732732732733,666
19083,0.312283737024221,1156
19085,0.280978689818469,1267
19087,0.308243727598566,837
19089,0.28698224852071,338
16011,0.25359477124183,3060
24031,0.145133201882529,138962
16013,0.0908045977011494,2610
31161,0.238709677419355,155
24033,0.342900003947732,177317
40071,0.305257784583971,1959
16015,0.164719626168224,856
31163,0.308823529411765,68
40073,0.290243902439024,820
24035,0.157293713163065,8144
16017,0.149501661129568,3913
24037,0.173313605487928,14869
40075,0.549645390070922,282
16019,0.166682893583877,10271
31167,0.315789473684211,266
24039,0.3642081189251,1749
40077,0.382882882882883,222
51760,0.278944315545244,17240
31169,0.277777777777778,126
40079,0.464136780650542,2398
19091,0.275862068965517,580
19093,0.41042345276873,307
19095,0.212920837124659,1099
19097,0.247302904564315,1205
19099,0.241164241164241,2886
08001,0.204071138535738,56397
16021,0.173006134969325,815
24041,0.131443298969072,4656
08003,0.3168,625
16023,0.2625,160
40081,0.366702937976061,1838
08005,0.163412412372767,75747
24043,0.207535949832414,18498
16025,0.195121951219512,123
31173,0.316831683168317,101
24045,0.251116071428571,9856
40083,0.257936507936508,2772
48201,0.307220231475761,291348
08007,0.184647302904564,1446
16027,0.228292508172496,22331
08009,0.318181818181818,88
31175,0.255474452554745,137
24047,0.181158224715394,6061
40085,0.353276353276353,351
48203,0.271592442645074,2964
16029,0.257907542579075,411
31177,0.187823090178059,1741
40087,0.260335917312661,3096
48205,0.147959183673469,196
51770,0.26601148409894,9056
40089,0.359867330016584,603
31179,0.2375,320
48207,0.676190476190476,105
48209,0.148226018396846,11415
51775,0.167354424575883,2181
08011,0.363636363636364,165
16031,0.256658595641647,826
08013,0.0714326862146437,34718
08014,0.0895081546166688,7787
40091,0.353016688061617,779
31181,0.302325581395349,86
08015,0.135225375626043,1198
16035,0.195804195804196,429
08017,0.205882352941176,68
40093,0.38255033557047,149
48211,0.294117647058824,85
16037,0.196,250
08019,0.152878888153541,1511
31185,0.20440251572327,636
40095,0.358843537414966,588
48213,0.291542826263172,3701
16039,0.13738649822345,2533
48215,0.443760247768264,27445
40097,0.356881214024071,1911
40099,0.334763948497854,699
48217,0.325,1360
48219,0.302660753880266,902
08021,0.341968911917098,193
16041,0.228476821192053,906
08023,0.362745098039216,102
16043,0.254926108374384,812
08025,0.429530201342282,149
16045,0.208498583569405,1765
08027,0.128415300546448,366
29510,0.341552347649362,33459
48221,0.22463768115942,3312
16047,0.220945083014049,783
08029,0.186904761904762,2520
48223,0.284955752212389,1130
16049,0.140883977900553,724
48225,0.348571428571429,525
51790,0.217869718309859,2272
48227,0.359400998336107,1202
20103,0.214063310845874,7708
20105,0.34,50
20107,0.283765347885403,733
20109,0.229885057471264,87
08031,0.17446963170364,74288
16051,0.195731153496821,2202
08033,0.161290322580645,124
16053,0.233838786911413,1253
08035,0.094794425221812,51733
16055,0.164535475840217,17674
48231,0.283162125949084,4478
08037,0.0959511077158136,6545
16057,0.0886939571150097,2052
08039,0.148951911220715,4055
48233,0.212637913741224,997
16059,0.135652173913044,575
48235,0.370967741935484,62
21001,0.30381679389313,655
48237,0.403100775193798,129
20111,0.256787330316742,1768
21003,0.287948482060718,1087
48239,0.297169811320755,424
20113,0.204400283889283,1409
21005,0.219903691813804,1869
20115,0.255597014925373,536
21007,0.2508038585209,311
20117,0.280334728033473,239
21009,0.263045032165833,1399
20119,0.166666666666667,150
08041,0.149862476442724,78532
16061,0.156363636363636,275
08043,0.236848544164424,4087
16063,0.29874213836478,318
08045,0.161344029060088,6607
16065,0.148379052369077,1604
08047,0.155857740585774,956
48241,0.363475177304965,1128
16067,0.322627737226277,685
08049,0.110741971207087,1806
48243,0.131147540983607,61
16069,0.173032974208293,3063
48245,0.26233900942173,11569
48247,0.611111111111111,54
12101,0.264462300087907,64841
21011,0.30749354005168,387
20121,0.213517665130568,3906
21013,0.372905027932961,716
12103,0.239325144242976,114217
48249,0.460257380772142,1321
20123,0.241830065359477,153
12105,0.320492348636061,60120
21015,0.141164856860809,14182
20125,0.276158940397351,1510
21017,0.245546088303641,1291
12107,0.335416074978699,3521
20127,0.327014218009479,211
21019,0.239674229203025,3438
12109,0.126396783049144,25863
20129,0.205357142857143,112
08051,0.0969162995594714,1589
16071,0.296577946768061,263
08053,0.0967741935483871,62
16073,0.247422680412371,582
08055,0.253263707571802,383
16075,0.236904200094384,2119
08057,0.102272727272727,88
48251,0.26699362432565,10195
16077,0.301703163017032,411
08059,0.123999110320285,71936
48253,0.461077844311377,501
16079,0.243879472693032,1062
48255,0.318681318681319,182
13001,0.300387596899225,516
48257,0.269792025738251,8703
12111,0.306959030062649,44374
21021,0.199252801992528,1606
13003,0.509615384615385,104
20131,0.38592750533049,469
21023,0.236786469344609,473
48259,0.131313131313131,2772
12113,0.164212973212309,18068
13005,0.21160409556314,293
20133,0.369465648854962,655
21025,0.420634920634921,126
12115,0.190683098456155,52013
20135,0.441176470588235,68
12117,0.208238577630763,58044
21027,0.294294294294294,666
20137,0.230769230769231,65
13009,0.297430830039526,2024
21029,0.219798657718121,7748
12119,0.127934272300469,5964
20139,0.325464949928469,1398
16081,0.142335766423358,822
08063,0.229508196721311,366
16083,0.213111760409058,5476
08065,0.227987421383648,636
16085,0.134421134421134,1287
08067,0.0956759929563686,5111
16087,0.219195849546044,771
08069,0.106879268561357,36312
48265,0.207912797739201,2477
